281	6.576414	34827
282	6.072354	27417
283	5.398598	19266
284	5.375427	19019
285	6.668403	36309
286	5.256463	17784
287	5.941926	25688
288	5.375427	19019
289	4.392036	10374
290	5.745027	23218
291	5.979773	26182
292	3.485961	5187
293	3.429726	4940
294	6.072354	27417
295	5.785486	23712
296	5.922820	25441
297	3.743179	6422
298	5.328478	18525
299	6.179852	28899
300	7.498335	51623
301	6.367751	31616
302	1.822314	741
303	4.011432	7904
304	3.743179	6422
305	2.892743	2964
306	4.247929	9386
307	2.970963	3211
308	2.295972	1482
309	6.300717	30628
310	6.930173	40755
311	8.505164	75335
312	7.616068	54093
313	7.351989	48659
314	0.000000	0
315	7.053952	42978
316	4.011432	7904
317	3.593288	5681
318	8.411177	72865
319	4.172057	8892
320	7.413669	49894
321	4.946521	14820
322	5.304690	18278
323	5.825387	24206
324	5.466942	20007
325	5.444351	19760
326	6.713462	37050
327	5.845134	24453
328	5.884233	24947
329	2.970963	3211
330	5.785486	23712
331	6.433403	32604
332	6.317609	30875
333	7.225423	46189
334	6.144436	28405
335	6.054064	27170
336	6.713462	37050
337	5.080275	16055
338	6.916144	40508
339	5.845134	24453
340	4.284870	9633
341	3.644628	5928
342	6.985728	41743
343	5.106195	16302
344	6.591924	35074
345	6.035662	26923
346	6.054064	27170
347	4.321184	9880
348	4.685682	12597
349	6.607362	35321
350	4.946521	14820
351	5.328478	18525
352	6.971922	41496
353	7.389121	49400
354	3.045267	3458
355	4.052790	8151
356	7.438057	50388
357	7.557660	52858
358	6.054064	27170
359	7.040413	42731
360	2.160592	1235
361	3.790566	6669
362	5.444351	19760
363	5.884233	24947
364	6.638023	35815
365	7.225423	46189
366	7.906267	60515
367	6.728347	37297
368	6.417115	32357
369	3.790566	6669
370	4.011432	7904
371	6.916144	40508
372	6.916144	40508
373	6.728347	37297
374	2.970963	3211
375	3.429726	4940
376	6.772614	38038
377	3.836797	6916
378	6.317609	30875
379	2.527044	1976
380	2.892743	2964
381	5.641303	21983
382	4.494212	11115
383	5.466942	20007
384	3.183876	3952
385	7.173533	45201
386	6.035662	26923
387	7.401415	49647
388	8.226576	68172
389	4.716109	12844
390	5.641303	21983
391	6.367751	31616
392	4.834061	13832
393	4.862665	14079
394	6.384291	31863
395	7.819258	58539
396	5.641303	21983
397	5.922820	25441
398	5.941926	25688
399	4.591943	11856
400	7.026821	42484
401	7.225423	46189
402	7.786125	57798
403	5.131855	16549
404	5.785486	23712
405	5.511572	20501
406	5.845134	24453
407	4.494212	11115
408	4.052790	8151
409	4.591943	11856
410	3.743179	6422
411	5.998519	26429
412	7.808245	58292
413	5.765327	23465
414	0.000000	0
415	5.641303	21983
416	6.072354	27417
417	4.559831	11609
418	5.864749	24700
419	4.460672	10868
420	7.498335	51623
421	4.210335	9139
422	8.315041	70395
423	2.810047	2717
424	5.489347	20254
425	3.311364	4446
426	2.295972	1482
427	8.696049	80522
428	5.864749	24700
429	4.052790	8151
430	8.523714	75829
431	2.160592	1235
432	7.545870	52611
433	6.197408	29146
434	7.376785	49153
435	5.703989	22724
436	4.321184	9880
437	4.623613	12103
438	6.481776	33345
439	0.000000	0
440	7.040413	42731
441	6.054064	27170
442	7.474340	51129
443	6.090535	27664
444	4.284870	9633
445	6.090535	27664
446	1.822314	741
447	5.157260	16796
448	6.179852	28899
449	6.108608	27911
450	4.775813	13338
451	8.324755	70642
452	6.179852	28899
453	3.540438	5434
454	4.172057	8892
455	6.985728	41743
456	5.280686	18031
457	7.053952	42978
458	5.182418	17043
459	4.247929	9386
460	4.918886	14573
461	2.527044	1976
462	2.722175	2470
463	2.722175	2470
464	7.094261	43719
465	6.607362	35321
466	2.628231	2223
467	3.485961	5187
468	4.093320	8398
469	7.263857	46930
470	8.731471	81510
471	5.533618	20748
472	6.916144	40508
473	6.249490	29887
474	7.474340	51129
475	4.527259	11362
476	6.873713	39767
477	1.263522	247
478	8.713796	81016
479	5.620095	21736
480	4.011432	7904
481	4.426620	10621
482	6.985728	41743
483	6.017148	26676
484	3.183876	3952
485	5.598725	21489
486	5.745027	23218
487	6.668403	36309
488	6.449608	32851
489	5.421571	19513
490	6.772614	38038
491	7.401415	49647
492	2.417030	1729
493	4.973850	15067
494	5.765327	23465
495	7.173533	45201
496	5.703989	22724
497	7.147304	44707
498	6.743168	37544
499	8.285762	69654
500	4.210335	9139
501	5.577192	21242
502	4.052790	8151
